customer_id,full_name,account_number,balance,created_at
143,Steven Richardson,CPNK84769572862361,345934.85,2026-09-10 08:21:16.724326
144,Ann Campos,YQOD02058787138169,126981.70,2026-09-10 08:21:16.724326
145,Brian Mathis,KGOF09955620341679,381238.41,2026-09-10 08:21:16.724326
146,Christopher Caldwell,UOUT63217907249975,213272.15,2026-09-10 08:21:16.724326
147,Katherine Stanley,QMVH52767591321575,343699.91,2026-09-10 08:21:16.724326
148,Karen Carpenter,TQSO89513734104717,33964.42,2026-09-10 08:21:16.724326
149,Anthony Sanchez,FTSE34397266039022,158176.70,2026-09-10 08:21:16.724326
150,Taylor Hickman,JZTB69947559880404,465518.29,2026-09-10 08:21:16.724326
151,Norma Paul,EPXE13012409621829,472233.41,2026-09-10 08:21:16.724326
152,Brandi Garcia,NJSJ61927409583381,494286.76,2026-09-10 08:21:16.724326
153,Jasmine Wang,RJGX84180087370461,178033.91,2026-09-10 08:21:16.724326
154,Amanda Ferguson,OYDJ67983787183057,200384.35,2026-09-10 08:21:16.724326
155,Ann Smith,MINI44686386735230,215105.80,2026-09-10 08:21:16.724326
156,Jacqueline Baker,YEOU77626372335350,400570.88,2026-09-10 08:21:16.724326
157,Joseph Moore,HURA44930123117314,130506.16,2026-09-10 08:21:16.724326
158,Kenneth Robinson,ZSUG46900421225528,31996.55,2026-09-10 08:21:16.724326
159,Cesar Pollard,TMAP72996350534213,402067.04,2026-09-10 08:21:16.724326
160,David Peterson,FWFL22379939683780,485159.09,2026-09-10 08:21:16.724326
161,Brian Johnson,DWJQ10698986446197,189811.49,2026-09-10 08:21:16.724326
162,Alexandra Edwards,GVAR93415835935781,197156.09,2026-09-10 08:21:16.724326
163,Jeffrey Robinson,XEOJ31206996140529,267528.78,2026-09-10 08:21:16.724326
164,Cindy Rodriguez,ZKIK28374857969031,373881.43,2026-09-10 08:21:16.724326
165,Laurie Davidson,TTBW54655087830065,275053.96,2026-09-10 08:21:16.724326
166,Mr. Brandon Maxwell,PUMH10159033213521,38298.37,2026-09-10 08:21:16.724326
167,Mike Yates,VOLP10470629357069,78303.42,2026-09-10 08:21:16.724326
168,Jennifer Hurley,NHBS08211806250375,18835.23,2026-09-10 08:21:16.724326
169,Craig Bishop PhD,ALXB38573338155635,294090.26,2026-09-10 08:21:16.724326
170,David Carroll,IKOR10749955322781,330248.76,2026-09-10 08:21:16.724326
171,Kristina Conway,YJNB74415430226082,255614.72,2026-09-10 08:21:16.724326
172,Jordan Hayes,RJJS37983154101388,207387.06,2026-09-10 08:21:16.724326
173,Matthew Crawford,EGHH62371235209592,398492.61,2026-09-10 08:21:16.724326
174,Vanessa Olsen,DTUX03523607489974,190222.40,2026-09-10 08:21:16.724326
175,Sean Rios,QUCO42274704094803,203690.51,2026-09-10 08:21:16.724326
176,Antonio Clark,OBMO83595549452893,17477.68,2026-09-10 08:21:16.724326
177,Erica Dickerson,EBVM68884939628821,70558.54,2026-09-10 08:21:16.724326
178,Laura Martin,CJCK12222441962654,37629.39,2026-09-10 08:21:16.724326
179,Tina Callahan,PGBI92785819227895,63390.71,2026-09-10 08:21:16.724326
180,Alexander Huffman,SJOA23937559024357,23657.26,2026-09-10 08:21:16.724326
181,Joshua Acosta,YFWV48024004536676,322357.32,2026-09-10 08:21:16.724326
182,Fred Hamilton,DUZV37662782097028,356525.17,2026-09-10 08:21:16.724326
183,Jacob Young,IQRU27958085482370,351931.43,2026-09-10 08:21:16.724326
184,Lynn Richardson,BYAB35932813162952,57930.33,2026-09-10 08:21:16.724326
185,Michelle Torres,VKFE00943776290355,96775.94,2026-09-10 08:21:16.724326
186,Gregory Watkins,HCOE53681448448585,387502.84,2026-09-10 08:21:16.724326
187,Jessica Stewart,HYJN14355207207319,28382.15,2026-09-10 08:21:16.724326
188,Dr. Christopher Torres,MSAJ25566602678632,487151.43,2026-09-10 08:21:16.724326
189,Melissa Little,DUGE36939234325526,296745.40,2026-09-10 08:21:16.724326
190,Terri Nelson,GSFP38666071180502,328425.33,2026-09-10 08:21:16.724326
191,Christopher Byrd,BNOP96576387293401,72503.36,2026-09-10 08:21:16.724326
192,Logan Adams,WDVN11400463606427,295974.77,2026-09-10 08:21:16.724326
193,Wesley Butler,ALRK47416943894316,307996.51,2026-09-10 08:21:16.724326
194,Scott Lloyd,QHIH26962897513680,444455.86,2026-09-10 08:21:16.724326
195,Richard Perkins,EVZY25001366533896,192234.18,2026-09-10 08:21:16.724326
196,Gregory Robertson,DHST59971735664628,452505.33,2026-09-10 08:21:16.724326
197,Bradley Ramsey,RVJJ01195002076045,277775.85,2026-09-10 08:21:16.724326
198,Dana Aguirre,RYRD08276942144223,164063.98,2026-09-10 08:21:16.724326
199,Billy Griffin,ABNG80417366869608,360436.07,2026-09-10 08:21:16.724326
200,Megan Byrd,LMDD45111182404070,326023.70,2026-09-10 08:21:16.724326
